Item ID,Color ID,Size ID,Item Name,Color Name,Size Name,SKU Description,Department,Class,Wholesale Price,Retail Price,Retail Markup $,Retail Markup %,On Hand #
011,400,040,Double Wrap Solid Belt,Orange,4,Orange 4,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"2,379"
011,400,050,Double Wrap Solid Belt,Orange,5,Orange 5,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"1,593"
011,400,060,Double Wrap Solid Belt,Orange,6,Orange 6,Belts,Solid,$3.49,$6.99,$3.50,100.3%,856
011,400,070,Double Wrap Solid Belt,Orange,7,Orange 7,Belts,Solid,$3.49,$6.99,$3.50,100.3%,390
011,400,080,Double Wrap Solid Belt,Orange,8,Orange 8,Belts,Solid,$3.49,$6.99,$3.50,100.3%,104
011,400,090,Double Wrap Solid Belt,Orange,9,Orange 9,Belts,Solid,$3.49,$6.99,$3.50,100.3%,49
011,500,002,Double Wrap Solid Belt,Green,0,Green 0,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"1,369"
011,500,010,Double Wrap Solid Belt,Green,1,Green 1,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"3,041"
011,500,020,Double Wrap Solid Belt,Green,2,Green 2,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"3,430"
011,500,030,Double Wrap Solid Belt,Green,3,Green 3,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"2,940"
011,500,040,Double Wrap Solid Belt,Green,4,Green 4,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"2,060"
011,500,050,Double Wrap Solid Belt,Green,5,Green 5,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"1,525"
011,500,060,Double Wrap Solid Belt,Green,6,Green 6,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"1,031"
011,500,070,Double Wrap Solid Belt,Green,7,Green 7,Belts,Solid,$3.49,$6.99,$3.50,100.3%,184
011,500,080,Double Wrap Solid Belt,Green,8,Green 8,Belts,Solid,$3.49,$6.99,$3.50,100.3%,115
011,500,090,Double Wrap Solid Belt,Green,9,Green 9,Belts,Solid,$3.49,$6.99,$3.50,100.3%,92
011,600,002,Double Wrap Solid Belt,Blue,0,Blue 0,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"1,139"
011,600,010,Double Wrap Solid Belt,Blue,1,Blue 1,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"2,930"
011,600,020,Double Wrap Solid Belt,Blue,2,Blue 2,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"3,520"
011,600,030,Double Wrap Solid Belt,Blue,3,Blue 3,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"3,032"
011,600,040,Double Wrap Solid Belt,Blue,4,Blue 4,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"2,041"
011,600,050,Double Wrap Solid Belt,Blue,5,Blue 5,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"1,310"
011,600,060,Double Wrap Solid Belt,Blue,6,Blue 6,Belts,Solid,$3.49,$6.99,$3.50,100.3%,713
011,600,070,Double Wrap Solid Belt,Blue,7,Blue 7,Belts,Solid,$3.49,$6.99,$3.50,100.3%,317
011,600,080,Double Wrap Solid Belt,Blue,8,Blue 8,Belts,Solid,$3.49,$6.99,$3.50,100.3%,96
